,,,"Percentage of 18-64 population who see good opportunities to start a firm in the area where they live","Percentage of 18-64 population who believe they have the required skills and knowledge to start a business","Percentage of the 18–64 population who agree that they see good opportunities but would not start a business for fear it might fail. NOTE: this is a percentage of those seeing good opportunities, and not the total adult population","Percentage of 18-64 population (individuals involved in any stage of entrepreneurial activity excluded) who are latent entrepreneurs and who intend to start a business within three years","Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business","Percentage of 18-64 population who are currently an owner-manager of an established business, i.e., owning and managing a running business that has paid salaries, wages, or any other payments to the owners for more than 42 months","Rate of involvement of employees in entrepreneurial activities, such as developing or launching new goods or services, or setting up a new business unit, a new establishment or subsidiary","Percentage of those involved in TEA that are improvement-driven opportunity motivated, divided by the percentage of TEA that is necessity-motivated","Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business, divided by the equivalent percentage for their male counterparts","Percentage of those females involved in TEA who (i) claim to be driven by opportunity as opposed to finding no other option for work; and (ii) who indicate the main driver for being involved in this opportunity is being independent or increasing their income, rather than just maintaining their income, divided by the equivalent percentage for their male counterparts","Percentage of those involved in TEA who expect to create 6 or more jobs in 5 years","Percentage of those involved in TEA who indicate that their product or service is new to at least some customers AND that few/no businesses offer the same product","Percentage of those involved in TEA in the Business Services sector  Information and Communication, Financial Intermediation and Real Estate, Professional Services or Administrative Services, as defined by the ISIC 4.0 Business Type Codebook","Percentage of 18-64 population who agree with the statement that in their country, successful entrepreneurs receive high status","Percentage of 18-64 population who agree with the statement that in their country, most people consider starting a business as a desirable career choice"
code,economy,year,"Perceived opportunities","Perceived capabilities","Fear of failure rate *","Entrepreneurial intentions","Total early-stage Entrepreneurial Activity (TEA)","Established Business Ownership","Entrepreneurial Employee Activity","Motivational Index","Female/Male TEA","Female/Male Opportunity-Driven TEA","High Job Creation Expectation",Innovation,"Business Services Sector","High Status to Successful Entrepreneurs","Entrepreneurship as a Good Career Choice"
54,Argentina,2024,57.00,74.80,18.78,17.40,23.36,6.42,,,0.93,,14.78,,15.93,,
374,Armenia,2024,51.39,59.63,38.42,36.23,17.59,10.78,,,0.59,,27.67,,11.60,73.97,87.56
43,Austria,2024,45.96,55.38,44.76,5.42,6.58,7.88,,,0.93,,8.26,,31.28,76.18,51.10
375,Belarus,2024,46.95,52.11,48.17,32.40,16.59,5.15,,,0.94,,29.56,,18.76,78.36,78.69
387,"Bosnia and Herzegovina",2024,55.09,73.34,46.79,29.87,22.71,5.86,,,0.77,,26.25,,22.05,75.79,65.76
55,Brazil,2024,64.54,67.37,51.54,49.85,20.31,13.21,,,0.83,,35.26,,17.35,,
101,Canada,2024,61.26,58.94,47.97,21.96,25.38,5.81,,,0.75,,20.81,,21.26,82.60,75.89
56,Chile,2024,60.20,69.87,46.56,38.51,27.21,8.09,,,0.95,,32.10,,23.50,60.76,70.51
86,China,2024,54.81,48.46,62.16,4.01,5.43,4.45,,,0.83,,14.40,,10.42,80.77,63.98
506,"Costa Rica",2024,61.93,75.36,36.14,44.90,5.15,2.00,,,0.96,,5.04,,10.23,56.59,66.88
